model,dataset,prompt_idx,prompt,denoising_step,total_denoising_steps,image_resolution
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",0,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",1,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",2,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",3,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",4,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",5,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",6,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",7,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",8,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",9,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",10,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",11,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",12,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",13,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",14,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",15,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",16,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",17,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",18,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),0,"beautiful Jaguar decorated with huichol beads, in the jungle, plants everywhere, DMT colours, ultra realistic , cinematic lighting   v 5",19,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,0,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,1,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,2,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,3,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,4,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,5,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,6,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,7,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,8,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,9,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,10,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,11,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,12,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,13,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,14,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,15,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,16,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,17,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,18,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),1,a hamster dressed in cia outfit,19,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,0,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,1,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,2,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,3,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,4,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,5,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,6,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,7,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,8,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,9,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,10,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,11,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,12,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,13,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,14,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,15,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,16,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,17,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,18,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),2,Jesus the shepherd leading the sheep out of the fence in Palestine 2000 years ago,19,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",0,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",1,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",2,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",3,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",4,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",5,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",6,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",7,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",8,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",9,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",10,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",11,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",12,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",13,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",14,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",15,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",16,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",17,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",18,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),3,"beautiful pale pink baby fawn set among pastel pink flowers and soft wisteria, romantic specimen, pinkish white background, by Thomas kinkade Nadja Baxter Anne Stokes Nancy Noel ",19,20,1024x1024
PixArt-alpha/PixArt-Sigma-XL-2-1024-MS,MJHQ (xingjianleng/mjhq30k),4,"hyperrealistic portrait of a young woman, Belarus, over the shoulder, brown and long hair, white dress, tree of life, symbol of birth and fertility, shedding light around her, depicted with swan and horse, Nikon D850, 85mm lens, f1.8, intense contrast, vivid colors ",0,20,1024x1024
